Cours;Intit.Complet
WDEPE3030;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 3e année (1er quadrimestre) 
WDEPE3031;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 3e année (2e quadrimestre) 
WDEPE3032;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous anesthésie générale, 3e année (3e quadrimestre) 
WDEPE3033;Questions spéciales en dentisterie pédiatrique et prise en charge des patients à besoins spécifiques - 1e partie 
WDEPE3034;Questions spéciales en dentisterie pédiatrique et prise en charge des patients à besoins spécifiques - 2e partie 
WDEPE3035;La communication thérapeutique 
WDEPE3061;Mémoire en dentisterie générale avec orientation spécifique, 1re partie 
WDEPE3062;Mémoire en dentisterie générale avec orientation spécifique, 2e partie 
WDEPE3063;Mémoire en dentisterie générale avec orientation spécifique, 3e partie 
WDEPE3111;Soins spécialisés en dentisterie pédiatrique, 1re année 
WDEPE3121;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous AG, 1re année 
WDEPE3131;Questions spéciales en dentisterie générale, donc la communication thérapeutique, 1re année 
WDEPE3141; Activité extra-muros de service à la société, 1re année
WDEPE3212;Soins spécialisés en dentisterie pédiatrique, 2e année 
WDEPE3222;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous AG, 2e année 
WDEPE3232;Questions spéciales en dentisterie pédiatrique, 2e année 
WDEPE3242;Activité extra-muros de service à la société, 2e année 
WDEPE3252;Encadrement clinique en dentisterie pédiatrique, 1re année 
WDEPE3313;Soins spécialisés en dentisterie pédiatrique, 3e année 
WDEPE3323;Contribution à la prise en charge spécifique des soins dentaires sous sédation consciente et sous AG, 3e année 
WDEPE3333;Questions spéciales en dentisterie pédiatrique, 3e année 
WDEPE3343;Activité extra-muros de service à la société, 3e année 
WDEPE3352;Encadrement clinique en dentisterie pédiatrique, 2e année 
WDEPR3021;Encadrement préclinique en prothèse dentaire, 1e année 
WDEPR3023;Clinique de prothèse dentaire, 1e année 
WDEPR3027;Encadrement préclinique en prothèse dentaire, 2e année 
WDEPR3029;Clinique de prothèse dentaire, 2e année 
WDERM2120;Compléments de dermatologie 
WDERM2301;Compléments de dermatologie 1re année 
WDERM2302;Compléments de dermatologie 2e année 
WDERM2303;Compléments de dermatologie 3e année 
WDERM2304;Compléments de dermatologie 4e année 
WDERM2311;Questions spéciales de dermatologie 1re année (U ou IU) 
WDERM2312;Questions spéciales de dermatologie 2e année (U ou IU) 
WDERM2313;Questions spéciales de dermatologie 3e année (U ou IU) 
WDERM2314;Questions spéciales de dermatologie 4e année (U ou IU) 
WDERM2315;Questions spéciales de dermatologie 5e année (U ou IU) 
WDERM2372;Travail de fin d'études de dermatologie, 1re partie 
WDERM2374;Travail de fin d'études de dermatologie, 2e partie 
WDERM2375;Travail de fin d'études de dermatologie, 2ème partie 
WDERM2381;Stages cliniques de dermatologie 1re année, 1re partie 
WDERM2382;Stages cliniques de dermatologie 2e année, 1re partie 
WDERM2383;Stages cliniques de dermatologie 3e année, 1re partie 
WDERM2384;Stages cliniques de dermatologie 4e année, 1re partie 
WDERM2385;Stages cliniques de dermatologie 5e année, 1re partie 
WDERM2391;Stages cliniques de dermatologie 1re année, 2e partie 
WDERM2392;Stages cliniques de dermatologie 2e année, 2e partie 
WDERM2393;Stages cliniques de dermatologie 3e année, 2e partie 
WDERM2394;Stages cliniques de dermatologie 4e année, 2e 
WDERM2395;Stages cliniques de dermatologie 5e année, 2e partie 
WDETR3031;Encadrement préclinique en dentisterie conservatrice et endodontie, 1e année 
WDETR3033;Clinique de dentisterie conservatrice et endodontie, 1e année 
WDETR3037;Encadrement préclinique en dentisterie conservatrice et endodontie, 2e année 
WDETR3039;Clinique de dentisterie conservatrice et endodontie, 2e année 
WEBIM2100;Questions approfondies de bioéthique (A) 
WEBIM2101;Séminaire de bioéthique et d'éthique biomédicale 
WEBIM2200;Questions approfondies de bioéthique (B) 
WEBIM2900;Stage d'observation et rapport d'éthique clinique 
WENDO2311;Questions approfondies d'endocrinologie (U ou IU) 1re année 
WENDO2312;Questions approfondies d'endocrinologie (U ou IU) 2e année 
WENDO2372;Mémoire d'endocrinologie 
WENDO2381;Stages cliniques d'endocrinologie 1re année, 1re partie 
WENDO2382;Stages cliniques d'endocrinologie 2e année, 1re partie 
WENDO2391;Stages cliniques d'endocrinologie 1re année, 2e partie 
WENDO2392;Stages cliniques d'endocrinologie 2e année, 2e partie 
WESP1001;Introduction aux systèmes de santé et de soins 
WESP1006;Economie politique 
WESP1007;Introduction aux théories des organisations 
WESP1009;Méthodologie du travail universitaire (séminaire inter facultaire) 
WESP1010;Introduction à la statistique descriptive et aux probabilités 
WESP1011;Introduction à la recherche scientifique en santé publique 
WESP2123; Principes des essais cliniques
WESP2227;Scientific writing in health sciences and social approaches of health (quantitative and qualitative methods) 
WESP2232; Epidémiologie génomique
WESP2234;Stratégies de la décision médicale 
WFACE2102;Conception de synthèses organiques de médicaments 
WFACE2103;Mémoire 
WFACL2198;Stages et travaux associés 
WFACL2199;Mémoire 
WFARI2100;Substances actives 
WFARI2101;Aspects cliniques 
WFARI2102;Assurance de qualité et management pharmaceutique 
WFARI2103;Technologie pharmaceutique 
WFARI2104; Analyse des médicaments
WFARI2105; Affaires réglementaires et environnement médico-social
WFARI2106;Visites et séminaires organisés dans les industries pharmaceutiques 
WFARI2109;Mémoire (dans le cadre d'un stage de 12 semaines) 
WFARI2110;Biotechnologies 
WFARM1004;Chimie appliquée aux médicaments 
WFARM1008;Conception du médicament 
WFARM1009;Eléments d'anatomie générale et fonctionnelle 
WFARM1202;Eléments d'épidémiologie appliquée aux sciences pharmaceutiques et biomédicales 
WFARM1212; Eléments de physiologie générale
WFARM1213;Physiologie des systèmes et éléments de physiopathologie 
WFARM1219;Biophysique appliquée aux médicaments 
WFARM1221; Biochimie et biologie moléculaire
WFARM1231; Structure et stratégie de synthèse des médicaments
WFARM1232;Pharmacologie générale 
WFARM1237;Introduction botanique à la pharmacognosie 
WFARM1238;Principes actifs d'origine naturelle 
WFARM1239;Atelier informatique et de recherche bibliographique appliquée au médicament 
WFARM1243;Introduction à la chimie analytique 
WFARM1244;Travaux pratiques d'introduction à la chimie analytique 
WFARM1282; Microbiologie générale
WFARM1290;Communication professionnelle en santé 
WFARM1300; Pharmacocinétique et métabolisme des xénobiotiques
WFARM1302; Chimie pharmaceutique
WFARM1303;Biochimie médicale 
WFARM1305;Eléments de pathologie humaine 
WFARM1306;Microbiologie médicale 
WFARM1307;Eléments de physico-chimie appliqués aux médicaments 
WFARM1309;Stage d'immersion professionnelle dans le monde pharmaceutique 
WFARM1310;Médicaments inorganiques à usage diagnostique et thérapeutique 
WFARM1312; Analyse instrumentale appliquée aux sciences pharmaceutiques
WFARM1313;Travaux pratiques d'analyse instrumentale 
WFARM1319;Pharmacognosie-étude de cas 
WFARM1324;Pharmacognosie générale 
WFARM1325;Pharmacognosie spéciale, y compris phytothérapie 
WFARM1329;Compléments d'analyse instrumentale 
WFARM1332; Pharmacologie générale, 2e partie
WFARM1339;Compléments de pharmacocinétique 
WFARM1349;Séminaire intégré en sciences pharmaceutiques 
WFARM1359;Drug design en chimie pharmaceutique 
WFARM1369;Evaluation de la biodistribution et de l'effet d'un médicament par des méthodes non invasives 
WFARM1370;Formation à la communication scientifique 
WFARM1375;Médicaments et développement durable 
WFARM1379;Exercices pratiques de biochimie médicale 
WFARM1383;Génétique et biotechnologie pharmaceutiques 
WFARM2104;Bonnes pratiques de fabrication et de laboratoire et assurance qualité pharmaceutique 
WFARM2111; Pharmacothérapie intégrée
WFARM2114;Pharmacologie spéciale et éléments de pharmacothérapie 1re partie 
WFARM2116;Pharmacologie spéciale et éléments de pharmacothérapie 2e partie 
WFARM2117;Analyse et contrôle de qualité des médicaments 
WFARM2118;Chimie médicinale 
WFARM2123; Complément de pharmacothérapie
WFARM2128; Processus de découverte, de développement et de mise sur le marché du médicament
WFARM2134;Gestion des situations aigües 
WFARM2135; Séminaires et travaux pratiques d'intégration en sciences pharmaceutiques
WFARM2139; Pharmacocinétique, pharmacogénomique et toxicologie
WFARM2149;Approche pharmaceutique de la nutrition 
WFARM2156;Pharmacie galénique 1re partie 
WFARM2157;Pharmacie galénique 2e partie 
WFARM2175;Etude critique d'un article de recherche en sciences pharmaceutiques 
WFARM2176;Présentation d'un travail de recherche en sciences pharmaceutiques 
WFARM2177;Biostatistique 
WFARM2180; Organotoxicité et cancer : aspects moléculaires, cellulaires et fonctionnels
WFARM2196;Critères de choix thérapeutiques (introduction à l'evidence-based medicine et économie de la santé et pharmacoéconomie) 
WFARM2209;Mémoire en sciences pharmaceutiques 
WFARM2210;Contact en milieu professionnel (stage 1 mois) 
WFARM2211;Séminaire de pharmacothérapie intégrée 
WFARM2235;Travaux pratiques de pharmacie galénique 
WFARM2236;Pharmacie et société 
WFARM2239;Sémiologie 
WFARM2244;Biologie clinique et monitoring thérapeutique 
WFARM2249;Séminaire d'intégration pharmaceutique (finalité approfondie) 
WFARM2255;Soins pharmaceutiques en officine et stage (24 semaines) 
WFARM2256;Soins pharmaceutiques en officine et stage (24 semaines) 
WFARM2259;Séminaire d'intégration pharmaceutique (finalité spécialisée) 
WFARM2266;Analyse des médicaments issus des biotechnologies 
WFARM2275;Exercice de communication scientifique 
WFARM2501;Chimie pharmaceutique avancée et drug design 
WFARM2502;Introduction à la toxicologie analytique 
WFARM2503;Pratique officinale de la phytothérapie 
WFARM2504;Dermopharmacie-pathologies courantes et soins des plaies 
WFARM2506;Formes pharmaceutiques et biodisponibilité 
WFARM2507;Introduction à la gestion pharmaceutique 
WFARM2508;Isolement et analyse structurale de produits naturels 
WFARM2509;Médecines complémentaires 
WFARM2510;Médicaments vétérinaires 
WFARM2511;Méthodologie des mesures radio-actives en recherche pharmaceutique et biomédicale 
WFARM2512;Nouvelles orientations en formulation galénique 
WFARM2513;Pharmacocinétique approfondie 
WFARM2514;Pharmacodépendance et toxicomanie 
WFARM2515;Pharmacologie moléculaire 
WFARM2520;Principes et applications biophysique des méthodes de spectroscopie de résonance magnétique nucléaire  et électronique 
WFARM2521;Recherche translationnelle : de la dysfonction biologique à la validation de nouveaux traitements 
WFARM2527;Biomatériaux et ingénierie tissulaire 
WFARM2529;Produits issus des biotechnologies et vaccins 
WFASB9999;Heures en jachère de la faculté FASB 
WFSP1005;Analyse financière et gestion financière de base 
WFSP2100;Problématique générale de la santé publique 
WFSP2101;Organisation des soins et systèmes de soins de santé 
WFSP2102;Sociologie et psychologie de la santé 
WFSP2103;Economie de la santé 
WFSP2104;Statistiques en sciences de la santé (Introduction) 
WFSP2105;Introduction à l'épidémiologie et à la démographie 
WFSP2106;Introduction aux méthodes qualitatives en santé publique 
WFSP2107;Le droit de la santé 
WFSP2108;Bioéthique 
WFSP2109;Promotion de la santé, 1re partie 
WFSP2110;La conduite de projet 
WFSP2111;La dynamique de groupe et la communication intra organisationnelle 
WFSP2112;Evaluation de programme en santé publique 
WFSP2114;Comptabilité générale et comptablité de gestion 
WFSP2119;Promotion de la santé, 2e partie 
WFSP2200;Social network research: health and society 
WFSP2201;Advanced methods in public health : seminar 
WFSP2202; Health survey methods
WFSP2203; Séminaire de recherche en économie de la santé
WFSP2204;Séminaire de méthodes qualitatives avancées en santé publique 
WFSP2205;Séminaire avancé en économie de la santé 
WFSP2210;Système d'information sanitaire pour les services, la population d'un bassin de soins et les trajectoires des patients : dossier partagés, réseaux (e-health, réseau santé wallon, etc) 
WFSP2211;Organisation et analyse de systèmes et réseaux locaux de soins : coordination des soins, case-management et réseaux de soins 
WFSP2212;Initiation à la pratique de la coordination des soins et des systèmes de soins et stage en milieu médico-social (64h) 
WFSP2218;Analyse longitudinale : régression linéaire, logistique et de Poisson 
WFSP2220;Approche communautaire de la santé (1re partie) 
WFSP2221; Approche communautaire de la santé (2e partie)
WFSP2222;Elaboration et suivi du projet professionnel de l'étudiant 
WFSP2228; Revue systématique de la littérature, revue réaliste et méta-analyse
WFSP2230;Politique de santé 
WFSP2231;La démarche EBN/EBP (Evidence-based nursing/ Evidence-based practice) 
WFSP2233;Genre et santé 
WFSP2234;Service citoyen 
WFSP2238; Advanced epidemiology
WFSP2241;Comportements et compétences de santé : concepts et méthodes 
WFSP2242;Interventions en éducation pour la santé 
WFSP2243;Interventions en éducation thérapeutique du patient 
WFSP2244;Elaboration et suivi du projet professionnel de l'étudiant 
WFSP2250;Gestion financière des hôpitaux 
WFSP2252;Organisation et législation hospitalière 
WFSP2253;Système d'information hospitalier 
WFSP2254;Gestion des processus à l'hôpital 
WFSP2255;Initiation à la pratique de la gestion et stage en milieu médico-social (40h) 
WFSP2260;Management humain et comportement organisationnel 
WFSP2261;Fonction ressources humaines et relations de travail 
WFSP2262;Gestion stratégique des institutions de soins 
WFSP2264;Séminaire de pratique réflexive en management 
WFSP2270;Gérontologie sociale 
WFSP2271;Psychogériatrie: psychologie et psychopathologie de la personne âgée 
WFSP2272;Vieillissement normal et épidémiologie du vieillissement pathologique 
WFSP2273;Evaluation et réadaptation en gériatrie 
WFSP2282;Réinsertion et réhabilitation sociales 
WFSP2283;Stage d'observation de l'option Community mental health (60h) 
WFSP2298;Séminaire d'accompagnement du mémoire 
WFSP2299;Mémoire 
WGAEN2314;Questions approfondies de gastro-entérologie (U ou IU) 4e année 
WGAEN2315;Questions approfondies de gastro-entérologie (U ou IU) 5e année 
WGAEN2316;Questions approfondies de gastro-entérologie (U ou IU) 6e année 
WGAEN2374;Mémoire de gastro-entérologie 1re partie 
WGAEN2375;Mémoire de gastro-entérologie 2e partie 
WGAEN2376;Mémoire de gastro-entérologie 3e partie 
WGAEN2384;Stages cliniques de gastro-entérologie 4e année, 1re partie 
WGAEN2385;Stages cliniques de gastro-entérologie 5e année, 1re partie 
WGAEN2386;Stages cliniques de gastro-entérologie 6e année, 1re partie 
WGAEN2394;Stages cliniques de gastro-entérologie 4e année, 2° partie 
WGAEN2395;Stages cliniques de gastro-entérologie 5e année, 2e partie 
WGAEN2396;Stages cliniques de gastro-entérologie 6e année, 2e partie 
WGEMO2110;Génétique moléculaire médicale 
WGENE2313;Séminaires de génétique médicale (IU) 3e année 
WGENE2314;Séminaires de génétique médicale (IU) 4e année 
WGENE2315;Séminaires de génétique médicale (IU) 5e année 
WGENE2316;Séminaires de génétique médicale (IU) 6e année 
WGENE2323;Séminaire de dysmorphologie (3e année) 
WGENE2324;Séminaire de dysmorphologie (4e année) 
WGENE2325;Séminaire de dysmorphologie (5e année) 
WGENE2326;Séminaire de dysmorphologie (6e année) 
WGENE2343;Participation au congrès annuel de la Société belge de génétique humaine (3e année) 
WGENE2344;Participation au congrès annuel de la Société belge de génétique humaine (4e année) 
WGENE2345;Participation au congrès annuel de la Société belge de génétique humaine (5e année) 
WGENE2346;Participation au congrès annuel de la Société belge de génétique humaine (6e année) 
WGENE2374;Préparation au mémoire, 1re partie 
WGENE2375;Préparation au mémoire, 2e partie 
WGENE2376;Mémoire de génétique médicale (présentation orale) 
WGENE2383;Stages cliniques de génétique médicale 3e année, 1re partie 
WGENE2384;Stages cliniques de génétique médicale 4e année, 1re partie 
WGENE2385;Stages cliniques de génétique médicale 5e année, 1re partie 
WGENE2386;Stages cliniques de génétique médicale 6e année, 1re partie 
WGENE2393;Stages cliniques de génétique médicale 3e année, 2e partie 
WGENE2394;Stages cliniques de génétique médicale 4e année, 2e partie 
WGENE2395;Stages cliniques de génétique médicale 5e année, 2e partie 
WGENE2396;Stages cliniques de génétique médicale 6e année, 2e partie 
WGERI2201;Séminaire de gériatrie 
WGERI2314;Questions spéciales de gériatrie (IU) 4e année 
WGERI2315;Questions spéciales de gériatrie (U ou IU), 5e année 
WGERI2316;Questions spéciales de la spécialité (U ou IU) 6e année 
WGERI2374;Préparation au mémoire (abstract), 1re partie 
WGERI2375;Préparation au mémoire (revue de la littérature), 2e partie 
WGERI2376;Mémoire de gériatrie (présentation orale) 
WGERI2384;Stages cliniques de gériatrie 4e année, 1re partie 
WGERI2385;Stages cliniques de gériatrie 5e année, 1re partie 
WGERI2386;Stages cliniques de la spécialité 6e année, 1re partie 
WGERI2394;Stages cliniques de gériatrie 4e année, 2e partie 
WGERI2395;Stages cliniques de gériatrie 5e année, 2e partie 
WGERI2396;Stages cliniques de la spécialité 6e année, 2e partie 
WHEMA2301;Compléments d'hématologie (U ou IU) 1re année 
WHEMA2302;Compléments d'hématologie (U ou IU) 2e année 
WHEMA2311;Questions approfondies d'hématologie (U ou IU) 1re année 
WHEMA2372;Mémoire d'hématologie 
WHEMA2381;Stages cliniques d'hématologie 1re année, 1re partie 
WHEMA2382;Stages cliniques d'hématologie 2e année, 1re partie 
WHEMA2391;Stages cliniques d'hématologie 1re année, 2e partie 
WHEMA2392;Stages cliniques d'hématologie 2e année, 2e partie 
WHOPI2100;Organisation et fonctionnement de la pharmacie en milieu hospitalier 
WHOPI2101;Physiopathologie et pharmacothérapie 
WHOPI2103;Dispositifs médicaux implantables et matériel biomédical 
WHOPI2104;Management qualité et gestion des risques 
WHOPI2105;Stérilisation et désinfection 
WHOPI2106;Gestion de l'antibiothérapie et prévention et contrôle des infections en milieu hospitalier 
WHOPI2107;Méthodologie en pharmacie clinique 
WHOPI2108; Applications cliniques en pharmacocinétique et pharmacogénomique
WHOPI2109;Compléments de pharmacologie et pharmacothérapie : médicaments à usager hospitalier 
WHOPI2110; Etudes cliniques, pharmacovigilance et risques médicamenteux
WHOPI2111;Contrôle qualité et assurance qualité de la fabrication et administration des préparations hospitalières 
WHOPI2120;Stage 1re partie 
WHOPI2220;Stage 2e partie 
WHOPI2320;Stage 3e partie 
WHOPI2323;Séminaire d'accompagnement du stage et du mémoire 
WIHTR2100;Stage spécifique: travaux pratiques antigènes et anticorps des groupes sanguins (1semaines) 
WIHTR2101;Stage: Banque de sang hospitalière (1 semaine) 
WIHTR2102;Stage: Laboratoire immuno-hématologie (1 semaine) 
WIHTR2103;Stage: Service du sang, distribution et prélèvement (1 semaine) 
WIHTR2104;Stage: Laboratoire d'histocompatibilité (1 semaine) 
WIHTR2105;Stage: Gestion donneurs et collectes (1 semaine) 
WIHTR2106;Stage: Préparation des produits sanguins labiles (1 semaine) 
WIHTR2107;Stage: Contrôle qualité des produits sanguins labiles et assurance qualité (1 semaine) 
WIHTR3090;Mémoire 
WINCL2311;Enseignement du CIU en infectiologie et microbiologie clinique, 1ère partie 
WINCL2312;Enseignement du CIU en infectiologie et microbiologie clinique, 2ème partie 
WINFE2313;Séminaire de maladies infectueuses, 1ère partie 
WINFE2314;Séminaire de maladies infectueuses, 2ème partie 
WINFE2321;Stage 1ère année 1ère partie 
WINFE2322;Stage 2ème année 1ère partie 
WINFE2323;Stage 3ème année 1ère partie 
WINFE2324;Stage 4ème année 1ère partie 
WINFE2331;Stage 1ère année 2ème partie 
WINFE2332;Stage 2ème année 2ème partie 
WINFE2333;Stage 3ème année 2ème partie 
WINFE2334;Stage 4ème année 2ème partie 
WINFE2344;Travail de fin d'études 
WINTR2105;Interprétation de l'électrocardiogramme (1re partie) 
WINTR2181;Compléments d'hémostase 
WINTR2182;Compléments d'hématologie 
WINTR2211;Compléments d'endocrinologie 
WINTR2260;Compléments de gastro-entérologie 
WINTR2265;Compléments de pathologie chirurgicale de l'appareil digestif 
WINTR2266;Compléments de pathologie chirurgicale digestive de l'enfant 
WINTR2271;Compléments de néphrologie 
WINTR2281;Compléments de rhumatologie 
WINTR2291;Exploration fonctionnelle cardiaque 
WINTR2292;Exploration fonctionnelle pulmonaire 
WINTR2311;Questions spéciales de médecine interne, 1re année 
WINTR2312;Questions spéciales de médecine interne, 2e année 
WINTR2313;Questions spéciales de médecine interne, 3e année 
WINTR2314;Questions spéciales de médecine interne, 4e année 
WINTR2315;Questions spéciales de médecine interne, 5e année 
WINTR2325;Travail de fin d'études de médecine interne (publication d'un article) 
WINTR2330;Compléments de médecine interne 
WINTR2331;Enseignement interuniversitaire, 1re année 
WINTR2332;Enseignement interuniversitaire, 2e année 
WINTR2381;Stages cliniques de médecine interne, 1re année, 1re partie 
WINTR2382;Stages cliniques de médecine interne, 2e année, 1re partie 
WINTR2383;Stages cliniques de médecine interne, 3e année, 1re partie 
WINTR2384;Stages cliniques de médecine interne, 4e année, 1re partie 
WINTR2385;Stages cliniques de médecine interne, 5e année, 1re partie 
WINTR2391;Stages cliniques de médecine interne, 1re année, 2e partie 
WINTR2392;Stages cliniques de médecine interne, 2e année, 2e partie 
WINTR2393;Stages cliniques de médecine interne, 3e année, 2e partie 
WINTR2394;Stages cliniques de médecine interne, 4e année, 2e partie 
WINTR2395;Stages cliniques de médecine interne, 5e année, 2e partie 
WINTR2405;Interprétation de l'électrocardiogramme (2ème partie et certificat) 
WMD1006;Cytologie et histologie générales 
WMD1120; Biologie générale et approche expérimentale de la biologie
WMDS1103;Anatomie générale et fonctionnelle 
WMDS1113;Epidémiologie, santé publique et soins de santé 
WMDS1114;Eléments de statistiques médicales 
WMDS1154;Physiologie cellulaire 
WMDS1158;Introduction à la recherche scientifique et à l'approche médicale 
WMDS1210;Physiologie cellulaire 
WMDS1214;Introduction à la pratique médicale 
WMDS1215; Biochimie métabolique
WMDS1220; Anatomie topologique et clinique
WMDS1221;Système nerveux, partie 1 
WMDS1223; Système urinaire, partie 1
WMDS1224; Système respiratoire, partie 1
WMDS1225; Système cardiovasculaire, partie 1
WMDS1226; Histologie des systèmes, partie 1
WMDS1229;Génétique humaine 
WMDS1230; Biologie cellulaire médicale et expérimentale
WMDS1231;Biochimie humaine pathologique 
WMDS1237; Pharmacologie générale
WMDS1250;Pharmacologie générale 
WMDS1251;Système urinaire et digestif, partie 1 
WMDS1252;Système cardiovasculaire et respiratoire (1re partie) 
WMDS1253;Histologie des systèmes 
WMDS1254;Introduction à la pratique médicale (stage d'observation en médecine générale et stage infirmier) 
WMDS1255;Biochimie (2e partie) 
WMDS1256;Pathologie biochimique et moléculaire 
WMDS1257;Système endocrinien et reproducteur (1re partie) 
WMDS1258;Anatomie topologique et clinique 
WMDS1259;Système nerveux (1re partie) 
WMDS1311;Anatomie radiologique et imagerie médicale 
WMDS1313; Microbiologie médicale
WMDS1314;Séminaires de sciences humaines 
WMDS1315;Système endocrinien, partie 1 
WMDS1321;Système digestif, partie 1 
WMDS1322;Système reproducteur, partie 1 
WMDS1324; Système respiratoire, partie 2
WMDS1325; Système cardiovasculaire, partie 2
WMDS1326; Histologie des systèmes, partie 2
WMDS1329;Stage d'observation en médecine générale (4 semaines) 
WMDS1330;Pathologie générale 
WMDS1331;Démarche clinique 
WMDS1332;Préparation au stage 
WMDS1350;Anatomie radiologique 
WMDS1351;Microbiologie médicale 
WMDS1352;Pharmacologie et médecine moléculaire 
WMDS1353;Pathologie générale 
WMDS1354;Système respiratoire (2e partie) 
WMDS1355;Système cardiovasculaire (2e partie) 
WMDS1356;Sémiologie 
WMDS1357;Psychologie générale et médicale 
WMDS1358;Introduction à la médecine générale 
WMDS1359;Stage d'observation en médecine générale (4 semaines) 
WMDS1360;Stage de recherche (4 semaines) 
WMDS2100;Maladies neurologiques 
WMDS2105;Médecine factuelle (Evidence-Based medicine) 
WMDS2122;Secteur urologie-néphrologie 
WMDS2123;Secteur endocrinologie 
WMDS2125; Secteur digestif
WMDS2129;Développements des compétences cliniques et techniques 1 
WMDS2133;Déontologie et droit médical 
WMDS2137;Secteur maladies infectieuses 
WMDS2150;Démarche clinique pédiatrique (sémiologie) 
WMDS2151;Démarche clinique adulte et pédiatrique, 1re partie 
WMDS2152;Secteur gynécologie-obstétrique 
WMDS2154;Technologies numériques en médecine 
WMDS2155;Secteur psychiatrie 
WMDS2160;Enjeux sociaux et éthique de la santé et de la médecine, 1re partie 
WMDS2161;Formation à la relation, 1re partie 
WMDS2199;Stage d'été facultatif (master) 
WMDS2215;Secteur tête et cou (ophtalmologie, oto-rhino-laryngologie, stomatologie) 
WMDS2220;Dermatologie 
WMDS2221;Secteur hématologie 
WMDS2223;Secteur oncologie 
WMDS2225;Médecine aiguë et principes d'anesthésiologies 
WMDS2229;Développements des compétences cliniques et techniques 2 
WMDS2234;Médecine légale 
WMDS2237;Algologie - maladies chroniques 
WMDS2238;Vieillissement et médecine gériatrique 
WMDS2239;Soins palliatifs 
WMDS2251;Démarche clinique adulte et pédiatrique, 2e partie 
WMDS2254;Secteur locomoteur 
WMDS2256;Secteur médecine générale, 1re  partie 
WMDS2257;Secteur médecine générale, 2e partie 
WMDS2258;Allergologie 
WMDS2259;Génétique humaine 2e partie 
WMDS2260;Enjeux sociaux et éthique de la santé et de la médecine, 2e partie 
WMDS2261;Formation à la relation, 2e partie 
WMDS2290;Stage de médecine générale 
WMDS2320;Stage de médecine interne 
WMDS2321;Stage de gériatrie 
WMDS2322;Stage de chirurgie 
WMDS2323;Stage de pédiatrie 
WMDS2324;Stage de gynécologie-obstétrique 
WMDS2325;Stage de médecine d'urgence 
WMDS2326;Stage au choix 1 
WMDS2327;Stage au choix 2 
WMDS2328;Travail de fin d'études (port folio) 
WMDS2329;Travail personnel (portfolio) 
WMDS2330;Evaluation continue des stages 
WMDS2335;Evaluation continue des stages 
WMDS2337;Journée de formation continue et examen de synthèse 
WMDS2338;Travail de fin d'études (étudiant chercheur) 
WMDS2339;Travail personnel (étudiant chercheur) 
WMDS2348;Travail de fin d'études (mémoire) 
WMDS2349;Travail personnel (mémoire) 
WMDS2351;Démarche clinique adulte et pédiatrique, 3e partie et examen de synthèse 
WMDS2361;Formation à la relation, 3e partie 
WMDS2362;Enjeux sociaux et éthique de la santé et de la médecine, 3e partie 
WMDS2951;Stage 1re période 
WMDS2952;Stage 2e période 
WMDS2953;Stage 3e période 
WMDS2954;Stage 4e période 
WMDS2955;Stage 5e période 
WMDS2956;Stage 6e période 
WMDS2957;Stage 7e période 
WMDS2958;Stage 8e période 
WMDS2961;Stage pré concours 1re période ou assimilé 
WMDS2962;Stage pré concours 2e période ou assimilé 
WMDSI2100;Démarche clinique intégrée (master SI) 
WMDTR2215;Stage (1re partie) 
WMDTR2216;Stage (2e partie) 
WMDTR2221;Etudes de postes 
WMDTR2222;Travail de fin d'études 
WMDTR3001;stage 8 semaines dans un service medical agree 
WMDTR3140;Leçons d'ophtalmologie 
WMDTR3180;Evaluation d'incapacité de travail et invalidités 
WMDTR3190;Hygiène du travail 
WMDTR3201; Facteurs de risques chimiques en milieu professionnel
WMDTR3202;Exercices pratiques de pathologie du travail 
WMDTR3230;Dermatoses professionnelles 
WMDTR3270;Législation médico-sociale 
WMDTR3290;Accidents du travail 
WMDTR3360;Psychopathologie industrielle et psychiatrie professionnelle 
WMDTR3370;Ergonomie 
WMED1260;Bases de l'informatique dans le secteur de la santé 
WMED1264;Hygiène hospitalière 
WMED2130;Développement durable et transition dans le domaine des soins de santé 
WMED2134;Médecine, santé et genre 
WMED2181;Compléments de pathologie tropicale 
WMED2186;Médecine sexuelle 
WMED2221;Monitorat de sémiologie 
WMED2252;Compléments de stomatologie et chirurgie maxillo-faciale 
WMED2261;Préparation aux stages en pays en condition de ressources limitées 
WMED2285;Sexologie médicale 
WMED2286;Séminaire de médecine sexuelle 
WMED2320;Education du patient à sa maladie 
WMED2331;Stratégie d'utilisation de l'imagerie médicale et de la biologie clinique 
WMED2332;Stratégie d'utilisation du laboratoire et des thérapeutiques en pathologie infectieuse 
WMED2346;Séminaires de soins intensifs: le patient critique 
WMED2840;Compléments d'orthopédie et de traumatologie 
WMEDE1152;Biologie et embryologie générale 
WMEDE1153;Histologie générale 
WMEDE1155;Biochimie (1re partie) et biologie moléculaire 
WMEDE1156;Eléments de biologie cellulaire 
WMEDE1159;Anthropologie et santé 
WMEFY2120;Réhabilitation motrice et compléments de médecine physique 
